
Ereignis,Gemeldet,breitengrad,längengrad,Zuersklasse,Schadenart,Schadenobjekt,Fallart
1202966220,1202977851,50.92223669556059,6.968245860448807,2,970,1,1
1350891780,1350910846,51.520468,7.464652,2,961,1,0
1202966220,1202977851,50.92223669556059,6.968245860448807,2,970,1,1
1350891780,1350910846,51.521098,7.46467,2,961,1,0
1202966220,1202988651,50.921887,6.967983,2,970,1,1
1350891780,1350910846,51.521188,7.464656,2,961,1,0
1202966220,1202992251,50.92223669556059,6.968245860448807,2,970,1,1
1350891900,1350910846,51.521299,7.464616,2,961,1,0
1202966220,1202995851,50.922118,6.968195,2,970,1,1
1350891900,1350910846,51.521393,7.464597,2,961,1,0
1202966220,1203006651,50.92193765960619,6.968389254782873,2,970,1,1
1350891900,1350910846,51.521503,7.464564,2,961,1,0
1202966100,1203010251,50.9219,6.96824,2,970,1,1
1350891900,1350910846,51.521616,7.464532,2,961,1,0
1202966100,1203010251,921638623651816,6.9685326491169714,2,970,1,1
1420437985,1420437985,51.907023,8.3868134,2,962,1,0
1202966100,1202992251,921721,6.968329,2,970,1,1
1350891900,1350910846,51.521721,7.464496,2,961,1,0
1202966100,1202992251,50.921339587697425,6.968676043451099,2,970,1,1
1350892020,1350910846,51.521915,7.464415,2,961,1,0
1202966100,1202977851,50.921479,6.968443,2,970,1,1
1350892140,1350910846,51.522005,7.464374,2,961,1,0
1202966100,1202977851,50.921237,6.968556,2,970,1,1
1350892020,1350910846,51.521821,7.464456,2,961,1,0
1202966100,1202977851,50.920741515788606,6.968962832119438,2,970,1,1
1416730785,1416737985,51.52495535,7.47029220348869,2,915,1,0
1202966100,1202977851,50.921040551743005,6.968819437785254,2,970,1,1
1416830785,1416837985,51.5290675,7.4602445,2,915,1,0
1202966100,1202977851,50.921049,6.968645,2,970,1,1
1416930785,1416937985,51.504305,7.52683954696296,2,915,1,0
1202966100,1202977851,50.92044247983422,6.969106226453646,2,970,1,1
1417030785,1417037985,51.5141582,7.4545626,2,915,1,0
1202966100,1202977851,50.920822,6.968751,2,970,1,1
1417130785,1417137985,51.7458435,7.19036197735271,2,915,1,0
1202966100,1202977851,50.920822,6.968751,2,970,1,1
1417230785,1417237985,51.6845631,7.84650793484279,2,915,1,0
1202966160,1202977851,50.9221923,6.9679937,2,970,1,1
1417330785,1417337985,51.52038265,7.4623481809114,2,915,1,0
1202966160,1202992251,50.9198444079254,6.969393015122161,2,970,1,1
1417440785,1417437985,51.4942742,7.281313,2,915,1,0
1202966160,1202992251,50.920382,6.968963,2,970,1,1
1417830785,1417837985,51.17851135,7.20527179331146,2,915,1,0
1203138960,1203165051,50.919733,6.969283,2,970,1,1
1417630785,1417637985,51.4510698,7.21823887700177,2,915,1,0
1203138960,1203165051,50.91870420075594,6.969403859711131,2,970,1,1
1417530785,1417537985,51.4715823,7.3241744,2,915,1,0
1203160560,1203165051,50.91879778208496,6.96989489529233,2,970,1,1
1418930785,1418930785,53.6233394,10.0163076,2,911,1,0
1203160560,1203165051,50.91870420075594,6.969403859711131,2,970,1,1
1418030785,1418037985,52.5276463,13.3434862,2,911,1,0
1203160620,1203168946,50.91870420075594,6.969403859711131,2,970,1,1
1417930785,1417937985,51.23289275,6.81407090052222,2,911,1,0
1203160620,1203168946,50.91879778208496,6.96989489529233,2,970,1,1
1418130785,1418137985,52.5228786,13.4165234,2,911,1,0
1203160620,1203168946,50.91870420075594,6.969403859711131,2,970,1,1
1418230785,1418237985,52.536285,13.6026916,2,911,1,0
1245002400,1245072946,51.520403,7.46386,2,970,1,1
1418330785,14183985,48.1414203,11.5687254,2,911,1,0
1245002400,1245080146,51.520255883409526,7.4643354178851675,2,970,1,1
1418430785,1418437985,48.1291037,11.5318481,2,911,1,0
1245002400,1245083746,51.52058136201642,7.463640990990173,2,970,1,1
1418530785,1418537985,48.0970235,11.645827,2,911,1,0
1245002400,1245051346,51.520554998807164,7.464196096779197,2,970,1,1
1418630785,1418637985,48.2025274,11.585544,2,911,1,0
1245002400,1245051346,51.520591,7.46378,2,970,1,1
1418730785,1418737985,53.5836918,9.9115418,2,911,1,0
1245002400,1245069346,51.520554998807164,7.464196096779197,2,970,1,1
1418830785,1418830785,53.6079919,10.052494,2,911,1,0
1245002400,1245069346,51.520806,7.463688,2,970,1,1
1419030785,1419037985,51.4389248,7.9701071,2,961,1,0
1245002400,1245069346,51.520554998807164,7.464196096779197,2,970,1,1
1419130785,1419137985,50.7142582,7.0451798,2,961,1,0
1245002400,1245069346,51.520912,7.463641,2,970,1,1
1419237985,1419237985,51.51893995,6.9326272029161,2,961,1,0
1245002400,1245069346,51.521096,7.463799,2,970,1,1
1419337985,1419337985,53.07723895,8.82136576181278,2,961,1,0
1245002400,1245069346,51.52101,7.463603,2,970,1,1
1419437985,1419437985,53.1373134,8.7440461,2,961,1,0
1245002400,1245065746,51.521149,7.463784,2,970,1,1
1419537985,1419537985,53.0847816,8.7914008,2,961,1,0
1245002400,1245065746,51.521116,7.463571,2,970,1,1
1419637985,1419637985,53.5270535,8.6007565,2,961,1,0
1245002400,1245065746,51.521247,7.463755,2,970,1,1
1419737985,1419737985,51.0493916,13.7216999,2,961,1,0
1245002400,1245065746,51.521196,7.463547,2,970,1,1
1419837985,1419837985,51.49520355,6.77153555207501,2,961,1,0
1245002400,1245065746,51.521355,7.463722,2,970,1,1
1419937985,1419937985,50.8350785,6.4623585649275,2,961,1,0
1245002400,1245069346,51.52131,7.463512,2,970,1,1
1420037985,1420037985,50.9709967,11.0592707,2,961,1,0
1245002400,1245069346,51.521576,7.463656,2,970,1,1
1420137985,1420137985,51.4367739,7.046204,2,962,1,0
1245002400,1245069346,51.521649,7.463406,2,970,1,1
1420237985,1420237985,51.45648435,7.00611861280907,2,962,1,0
1335946920,1335949200,51.67193,8.357781,3,962,4,1
1420337985,1420337985,51.4692254,7.0213855,2,962,1,0
1335946920,1335949200,51.671943,8.35822,3,962,4,1
1420537985,1420537985,51.3594406,7.462591,2,962,1,0
1335946920,1335949200,51.67187574449218,8.358109882849715,3,962,4,1
1420637985,1420637985,51.3489067,6.54097299,2,962,1,0
1335946920,1335949200,51.671944,8.358496,3,962,4,1
1420737985,1420737985,51.3234915,6.60752373007349,2,962,1,0
1335946920,1335949200,51.671914,8.358814,3,962,4,1
1420837985,1420837985,53.8792856,10.6707383,2,962,1,0
1335946920,1335949200,51.671925,8.358998,3,962,4,1
1420937985,1420937985,49.4915431,8.4368635,2,962,1,0
1335946920,1335949200,51.671937,8.359206,3,962,4,1
1421037985,1421037985,49.6269419,8.3587645,2,962,1,0
1335946920,1335949200,51.671976,8.35942,3,962,4,1
1421137985,1421137985,51.2805211,7.18311537038586,2,962,1,0
1335946920,1335949200,51.67198,8.359526,3,962,4,1
1421237985,1421237985,51.2826639,7.2553901,2,912,1,0
1335946920,1335949200,51.671894,8.359764,3,962,4,1
1421337985,1421337985,51.4371347,7.3290774,2,912,1,0
1335946920,1335949200,51.671915,8.360032,3,962,4,1
1421537985,1421537985,48.1822684,11.5309277,2,912,1,0
1336946920,1365949200,51.671915,8.360032,3,962,4,1
1421637985,1421637985,50.0091794,8.43583476531871,2,912,1,0
1371648900,1371657600,51.4936812,7.4201477,1,911,1,1
1421837985,1421837985,48.212021,16.3723092,2,912,1,0
1371648900,1371657600,51.4936812,7.4201477,1,911,1,1
1421737985,1421737985,51.7035778,8.7245057,2,912,1,0
1371648900,1371657600,51.4941029,7.4213591,1,911,1,1
1421937985,1421937985,49.79917465,9.95412397580606,2,912,1,0
1371648900,1371657600,51.494788,7.420294,1,911,1,1
1422037985,1422037985,52.8450771,8.03991617,2,912,1,0
1371648900,1371657600,51.494788,7.420294,1,911,1,1
1423137985,1423137985,52.2212132,20.9753821,2,912,1,0
1405333200,1405353600,51.489980607146286,7.3662766930266566,2,911,1,1
1423337985,1423337985,51.2509372,6.8010433,2,912,1,0
1405333200,1405353600,51.489980607146286,7.3662766930266566,2,911,1,1
